exact sum,estimated sum,solution 1 min,solution 1 max,solution 2 min,solution 2 max,sum ratio,exact runtime(ms),sampled runtime(ms),runtime improvement(%)
325359551,327989145,-1.0100199999999999E9,1.0100199999999999E9,-1.9413647391976058E8,2.0706446827212426E8,0.008082117128321215,1627,337,0.7928703134603565
25352632,25363927,-6.018E7,6.018E7,-1.2782142912933217E7,1.5934913303010594E7,4.455158738548329E-4,425,24,0.9435294117647058
44088755,43299009,-2.1209999999999996E7,2.1209999999999996E7,-1.3386879341049481E7,1.474951876526432E7,0.017912640082488152,299,16,0.9464882943143813
390834387,388322210,-2.5099999999999995E9,2.5099999999999995E9,-3.6593343583718055E8,4.793274416755319E8,0.0064277276605141705,2757,55,0.980050779833152
375679139,373362178,-2.5099999999999995E9,2.5099999999999995E9,-3.5456481121048164E8,4.077113952686779E8,0.006167393287174245,2826,62,0.9780608634111819
295788524,291677984,-4.6488E8,4.6488E8,-9.445591833890373E7,1.0262294066168156E8,0.01389688803477717,871,27,0.9690011481056258
241373993,244183667,-7.938999999999998E8,7.938999999999998E8,-1.5315019333539248E8,1.6428231334417063E8,0.011640334424927047,1057,31,0.9706717123935666
139840537,142495030,-3.5342999999999994E8,3.5342999999999994E8,-7.079812416932182E7,7.760273780291307E7,0.018982285515679907,832,25,0.9699519230769231
450149160,450058474,-1.8844199999999993E9,1.8844199999999993E9,-3.5395822356895804E8,3.754938268833476E8,2.01457667942777E-4,2147,41,0.9809035863996274
328432951,325041298,-2.5099999999999995E9,2.5099999999999995E9,-3.075992519349111E8,4.3839439639293855E8,0.010326774428915326,2285,40,0.9824945295404814
355384920,348931292,-2.5099999999999995E9,2.5099999999999995E9,-3.361062642537224E8,2.569889059347812E8,0.0181595437420361,1154,36,0.9688041594454073
163789810,165127747,-2.4861E8,2.4861E8,-5.327716365283828E7,5.997832660641133E7,0.008168621723170691,681,23,0.9662261380323054
1073538,1074957,-3200000.0000000005,3200000.0000000005,-853293.1063138045,1473494.9390727612,0.0013217976447969237,233,13,0.944206008583691
293167607,292620348,-2.5099999999999995E9,2.5099999999999995E9,-2.765434229984396E8,4.455615687616882E8,0.0018667103286073485,1296,40,0.9691358024691358
403985076,397283827,-2.5099999999999995E9,2.5099999999999995E9,-3.824498224303922E8,2.536070868638406E8,0.016587862765504734,1260,39,0.969047619047619
199620385,197638526,-2.5099999999999995E9,2.5099999999999995E9,-1.8880883748436168E8,3.4130053687723553E8,0.00992813935310264,1660,35,0.9789156626506024
349321071,347629429,-6.879100000000001E8,6.879100000000001E8,-1.346756118451135E8,1.4734222925443774E8,0.004842656628634922,1010,29,0.9712871287128713
396320980,392169426,-8.022799999999999E8,8.022799999999999E8,-1.5529750190330964E8,1.6890540485928863E8,0.010475231465162405,1052,30,0.9714828897338403
461299813,456817043,-2.5099999999999995E9,2.5099999999999995E9,-4.3372312551849926E8,4.0335324593920237E8,0.009717693078709313,1625,42,0.9741538461538461
11363372,11835347,-5999999.999999998,5999999.999999998,-8208367.968398465,8714459.984654399,0.04153476626480238,210,12,0.9428571428571428
186070858,180658227,-2.5099999999999995E9,2.5099999999999995E9,-1.7660368028324354E8,1.0183295726640226E8,0.029089084976434084,1144,29,0.9746503496503497
311881518,307037204,-2.5099999999999995E9,2.5099999999999995E9,-2.940676494901491E8,3.2620228439755493E8,0.015532545920210635,1177,38,0.967714528462192
140032717,138729521,-1.3060000000000003E8,1.3060000000000003E8,-3.382645009369921E7,3.744543432830489E7,0.009306368025409377,487,102,0.7905544147843943
23452180,23470255,-4.094E7,4.094E7,-9882753.583913129,1.2315528663567195E7,7.707172638108696E-4,360,17,0.9527777777777777
394738836,393960652,-1.5652499999999998E9,1.5652499999999998E9,-2.938488595409322E8,3.1398166571656173E8,0.00197138950878398,1375,43,0.9687272727272728
202800944,197532992,-2.5099999999999995E9,2.5099999999999995E9,-1.9136894427765125E8,2.1378279167930302E8,0.025975973760753304,769,32,0.9583875162548765
170157201,172155973,-4.5769E8,4.5769E8,-8.977289553709608E7,9.844591226055005E7,0.01174662011512519,794,26,0.9672544080604534
10801849,10568479,-7649999.999999999,7649999.999999999,-5270368.3024904085,6099326.553221925,0.02160463453988294,242,15,0.9380165289256198
492239421,488423806,-2.5099999999999995E9,2.5099999999999995E9,-4.617989608756093E8,4.43495378284804E8,0.00775154292244302,1636,45,0.9724938875305623
55612014,57208404,-3.953E7,3.953E7,-1.4854749469991548E7,1.7466618838220946E7,0.02870584762493946,339,15,0.9557522123893806
128968483,132443630,-4.7170000000000006E8,4.7170000000000006E8,-9.24049931444827E7,9.90882603676442E7,0.026945707347740145,875,26,0.9702857142857143
116938040,113959476,-2.5099999999999995E9,2.5099999999999995E9,-1.1067940170427199E8,1.889799503625721E8,0.02547130087010181,607,29,0.9522240527182867
42528909,43480304,-9.062E7,9.062E7,-1.9867623392678328E7,2.285543314097146E7,0.02237054799595259,452,18,0.9601769911504425
257372009,251972515,-2.5099999999999995E9,2.5099999999999995E9,-2.4065417606814498E8,3.518970484791598E8,0.020979336568025933,1109,37,0.9666366095581606
317315597,316177914,-6.313499999999999E8,6.313499999999999E8,-1.2395641009916124E8,1.360053616475712E8,0.0035853358951025657,923,29,0.9685807150595883
424944383,422067771,-2.5099999999999995E9,2.5099999999999995E9,-3.9936094742434496E8,4.411906322965731E8,0.006769384689101774,1608,43,0.9732587064676617
410934124,407788095,-2.5099999999999995E9,2.5099999999999995E9,-3.8424026280759466E8,4.807059452993691E8,0.0076557988647348255,2190,43,0.9803652968036529
163362109,161232076,-1.6523E8,1.6523E8,-4.021916525534818E7,4.4508807096820354E7,0.0130387212373709,529,19,0.9640831758034026
193431149,195191622,-3.7367000000000006E8,3.7367000000000006E8,-7.59194178471942E7,8.439606516516031E7,0.009101290092631357,939,24,0.9744408945686901
424793208,422569040,-2.5099999999999995E9,2.5099999999999995E9,-3.9992442030431116E8,4.3897790803745353E8,0.005235884091630769,1748,43,0.9754004576659039
73681615,72468579,-2.957E7,2.957E7,-1.9066920299304232E7,2.0663654706482857E7,0.01646321134519106,286,15,0.9475524475524475
11851508,12594762,-6599999.999999998,6599999.999999998,-1.0822265808179988E7,1.121776931328435E7,0.0627138757363198,194,12,0.9381443298969072
27121045,28907255,-1.0659999999999996E7,1.0659999999999996E7,-1.413048620599519E7,1.4827014090838159E7,0.06586066281738037,470,12,0.9744680851063829
389631078,382366844,-2.5099999999999995E9,2.5099999999999995E9,-3.70278284391768E8,1.763748227482932E8,0.018643877273054693,1566,35,0.9776500638569604
101066476,100274451,-7.418E7,7.418E7,-2.3448690844138104E7,2.637767330756227E7,0.007836673755202467,403,17,0.9578163771712159
309898804,303888206,-2.5099999999999995E9,2.5099999999999995E9,-2.9297429972651047E8,2.5495608090012366E8,0.01939535720183031,1037,35,0.9662487945998072
146682132,147814601,-2.1675E8,2.1675E8,-4.703400324344887E7,5.331318146127839E7,0.007720565446921647,666,21,0.9684684684684685
386530722,382993405,-2.5099999999999995E9,2.5099999999999995E9,-3.6225462463378614E8,4.455695761362898E8,0.009151451097333474,1600,41,0.974375
37947047,38006603,-1.5979999999999998E7,1.5979999999999998E7,-1.337626470518239E7,1.4554954563430648E7,0.001569450186729945,251,14,0.9442231075697212
374252742,373898589,-1.8319399999999998E9,1.8319399999999998E9,-3.432139401177576E8,3.631507037088891E8,9.462936680367729E-4,2117,41,0.9806329711856401
448410333,445409714,-2.5099999999999995E9,2.5099999999999995E9,-4.208580610624232E8,4.535887569302295E8,0.006691681210655776,1724,126,0.9269141531322506
268389626,263215920,-2.5099999999999995E9,2.5099999999999995E9,-2.5247352528395864E8,3.127589477167559E8,0.019276847906185463,1083,36,0.9667590027700831
488993672,485234933,-2.5099999999999995E9,2.5099999999999995E9,-4.603674272243969E8,4.0745242214428765E8,0.0076866822930992855,2624,44,0.9832317073170732
347603710,344786534,-2.5099999999999995E9,2.5099999999999995E9,-3.2722150192281705E8,4.138301544036024E8,0.008104562520348243,1356,42,0.9690265486725663
259629601,253782204,-2.5099999999999995E9,2.5099999999999995E9,-2.4807583090317985E8,7.225420821568374E7,0.02252207366755534,658,30,0.9544072948328267
373611628,367158106,-2.5099999999999995E9,2.5099999999999995E9,-3.509229276326807E8,3.4280795396950436E8,0.017273343537369774,1262,39,0.9690966719492868
436349212,436093431,-2.5099999999999995E9,2.5099999999999995E9,-4.107153263375378E8,4.850492205530273E8,5.861841684728423E-4,1593,44,0.9723791588198368
