exact sum,estimated sum,solution 1 min,solution 1 max,solution 2 min,solution 2 max,sum ratio
443535404,443505413,-2.5099999999999995E9,2.5099999999999995E9,-4.175686126408086E8,4.87784116164705E8,6.761805197404264E-5
447545458,442739541,-2.5099999999999995E9,2.5099999999999995E9,-4.251985896956885E8,2.727181636133689E8,0.010738388501308397
439392898,436339757,-2.5099999999999995E9,2.5099999999999995E9,-4.126465604396906E8,4.456033241110606E8,0.006948544261632559
103063911,106842251,-3.828900000000001E8,3.828900000000001E8,-7.589451480850506E7,8.086383347207229E7,0.03666016516683517
325513095,319628303,-2.5099999999999995E9,2.5099999999999995E9,-3.0845082088854957E8,2.4033107539579955E8,0.018078510789251045
346147545,345686367,-2.5099999999999995E9,2.5099999999999995E9,-3.2582249635379404E8,4.745535056550491E8,0.0013323162525968515
103699803,102110282,-4.631E7,4.631E7,-2.2680797750438932E7,2.517031269165743E7,0.015328100478647968
187772335,188976789,-3.5656999999999994E8,3.5656999999999994E8,-7.254753451095659E7,8.061376041147019E7,0.006414437994819631
195346914,189018840,-2.5099999999999995E9,2.5099999999999995E9,-1.826753086717601E8,2.392994698713181E8,0.03239403106209295
36240074,35527778,-1.3079999999999996E7,1.3079999999999996E7,-1.7811939228753503E7,1.8482916571883734E7,0.019654926753184886
7061558,7099501,-2.823E7,2.823E7,-5597860.125820927,7495806.294362439,0.005373176854172974
71792211,72788907,-2.3643E8,2.3643E8,-4.647953100136552E7,5.18218347085636E7,0.013883065949870245
165880600,163663258,-1.3067000000000001E8,1.3067000000000001E8,-3.545532365036739E7,4.0167168423499584E7,0.013367096574282948
123522801,122290222,-1.2555E8,1.2555E8,-3.1520479523311004E7,3.5594702171337515E7,0.009978554485661316
100760090,97501728,-4.339000000000001E7,4.339000000000001E7,-2.2365455884647906E7,2.4552015590155404E7,0.03233782343783139
179215396,172668549,-2.5099999999999995E9,2.5099999999999995E9,-1.6835879171617147E8,1.4146271187795037E8,0.03653060588611483
162045038,159686169,-2.5099999999999995E9,2.5099999999999995E9,-1.5323442693231028E8,2.973339593403991E8,0.014556872762743898
1249928,1246308,-2579999.9999999995,2579999.9999999995,-1227142.9031146371,5085249.946160348,0.0028961668192087862
